Class,FL_B,FL_A,VS,FL_B_3,FL_A_3,FL_B_12,FL_A_12,Container Type,Recyclable fraction
Emptying,85.3,34.4,6,75.9,54.7,83.3,39.8,Silvertop-a,Mixed
Emptying,96.2,51.7,8,83.3,33.9,85,57.4,BIM-3 FTI bottentomd,Non Recyclable
Non Emptying,50.9,63.5,5,30.8,55.7,51.7,68.5,BIM-3 FTI bottentomd,Recyclable
Emptying,83.1,33.9,6,91.8,61.1,84.6,43.6,Lindstrom-a,Mixed
Non Emptying,73.5,32.2,3,68,30.5,62.4,53,Lindstrom-a,Non Recyclable
Non Emptying,53.4,50,3,77.9,28.6,62.3,62.4,Rectangular Farmland,Recyclable
Non Emptying,58.4,51.5,5,56.2,64.4,34.2,67.9,Lindstrom-b,Recyclable
Emptying,90.7,34.7,6,81.8,57,75.6,42.6,Cubic,Recyclable
Emptying,83.9,46.2,6,70,67,92.1,54.5,Accordion,Recyclable
Emptying,72.1,39.7,8,92.3,42.9,65.9,44.5,Diamond,Non Recyclable
Non Emptying,30.6,32.8,2,53,60,52.9,35.7,Fiberglass Igloo-b,Recyclable
Emptying,85.8,63,6,91.3,59.4,71.6,21.5,Malmobehallare,Non Recyclable
Non Emptying,69.3,55.5,3,53.5,60.8,68.4,24.2,BIM-3 FTI bottentomd,Recyclable
Emptying,93.6,40.7,6,82,55.8,76.2,57.6,Silvertop-b,Mixed
Non Emptying,66,58.8,5,53.4,66.3,50.8,51.6,Silvertop-a,Mixed
Non Emptying,39.7,32.5,3,39.6,22.5,72.3,34.3,Lindstrom City,Recyclable
Emptying,83.3,32.7,8,85.6,47.2,69.8,51.4,Fiberglass Igloo-b,Mixed
Non Emptying,62.2,52.4,5,66,21.6,38.5,51.6,Rectangular Farmland,Recyclable
Non Emptying,32.7,50.7,3,61.3,24.4,52.3,58.9,Silvertop-b,Recyclable
Non Emptying,67.6,51.1,2,51.5,58,38.7,54.1,Silvertop-a,Recyclable
Non Emptying,34.3,34.6,5,54.4,33.6,65.4,56.8,Silvertop-a,Recyclable
Non Emptying,35.8,30,1,54.1,22.7,70.1,33.3,Diamond,Recyclable
Non Emptying,60.1,66.5,3,36,22,30.6,34.4,Lindstrom-a,Recyclable
Non Emptying,52.5,51.1,1,64.1,20.1,69.2,51.4,Cubic,Non Recyclable
Non Emptying,52.4,26.4,4,63.5,27.2,71.9,60.3,Lindstrom-b,Recyclable
Emptying,98,39.6,6,84.1,61.7,76.3,51,Rectangular,Non Recyclable
Emptying,97.7,43.1,6,95.8,27.7,63.6,47,Lindstrom-b,Mixed
Non Emptying,73.7,24.3,1,76,51,66.9,37,Accordion,Recyclable
Non Emptying,52.4,20.4,4,50.1,25.9,59.5,38.7,Accordion,Non Recyclable
Non Emptying,56.8,57.2,5,76.2,33,71,37.8,Cubic,Recyclable
Emptying,94.3,26.5,9,94,51.5,71.2,25,Rectangular Farmland,Mixed
Emptying,90.3,51.2,8,77.8,66.5,61.4,55.7,Lindstrom City,Non Recyclable
Non Emptying,56.3,36.3,3,59.8,30.4,33,51.8,Silvertop-a,Non Recyclable
